,fp_size,classifier,acc,f1,auc
0,10,nb,0.055257619067935214,0.02231575677209865,0.5080377154966719
1,10,lr,0.9888981327417267,0.0,0.5
2,10,rfc_20,0.9888981327417267,0.0,0.5
3,10,rfc_40,0.9888981327417267,0.0,0.5
4,10,rfc_60,0.9888981327417267,0.0,0.5
5,10,rfc_70,0.9888981327417267,0.0,0.5
6,10,rfc_80,0.9888981327417267,0.0,0.5
7,10,rfc_100,0.9888981327417267,0.0,0.5
8,20,nb,0.9813828803845444,0.010924466039276982,0.5015333838188354
9,20,lr,0.9888981327417267,0.0,0.5
10,20,rfc_20,0.9886919237168822,0.0004891989667638608,0.5000187182676721
11,20,rfc_40,0.9886890794544704,0.0004968960635197724,0.5000193966103217
12,20,rfc_60,0.9886990343729111,0.0004863482098847836,0.5000214007521917
13,20,rfc_70,0.9887040118321317,0.0001225490196078431,0.499932878997218
14,20,rfc_80,0.9887025897009258,0.0002437668439212593,0.4999626064253167
15,20,rfc_100,0.9887033007665287,0.00025024443435015675,0.4999644611550527
16,30,nb,0.9479848400813456,0.016257752425418333,0.5029416374149931
17,30,lr,0.9888981327417267,0.0,0.5
18,30,rfc_20,0.9875357310465465,0.029225676357681918,0.5076743840990673
19,30,rfc_40,0.9876139482628667,0.03319898002014,0.5088246924768592
20,30,rfc_60,0.9876139482628669,0.033512775023687554,0.5089230909219914
21,30,rfc_70,0.9875926162947796,0.03285275268428993,0.5087272622962047
22,30,rfc_80,0.98761963678769,0.03321189352287354,0.5088288921344105
23,30,rfc_100,0.987685054823158,0.033494062884419605,0.5088929538022431
24,40,nb,0.9679003654877197,0.023543757639090432,0.5065283165304891
25,40,lr,0.9888981327417267,0.0,0.5
26,40,rfc_20,0.9887523642931295,0.027413779678084668,0.5069939699403617
27,40,rfc_40,0.9887552085555413,0.028963042548991944,0.5074010252206809
28,40,rfc_60,0.9887438315058945,0.02800399644223626,0.5071469972655881
29,40,rfc_70,0.9887495200307183,0.02895874595490636,0.5073995635816245
30,40,rfc_80,0.9887552085555417,0.029438806153084317,0.5075287932394503
31,40,rfc_100,0.9887509421619239,0.029080134944872733,0.5074324082869812
32,50,nb,0.9843387800958519,0.016570202542750885,0.5038299743171774
33,50,lr,0.9888981327417267,0.0,0.5
34,50,rfc_20,0.9888384032310822,0.023472128398739623,0.5059538354191478
35,50,rfc_40,0.9888384032310823,0.024612740405566668,0.506247269886767
36,50,rfc_60,0.9888526245431405,0.027032836366763072,0.506879426377624
37,50,rfc_70,0.9888440917559055,0.024925960591016053,0.5063316849676153
38,50,rfc_80,0.9888455138871114,0.02586801804229338,0.50657578053603
39,50,rfc_100,0.9888369810998764,0.024831829804079924,0.5063030933443285
40,60,nb,0.982654265682552,0.01278740554388716,0.5020474742769419
41,60,lr,0.9888981327417267,0.0,0.5
42,60,rfc_20,0.9888384032310822,0.021148987302356332,0.5053493531793914
43,60,rfc_40,0.988832714706259,0.019908080731872172,0.5050274900006655
44,60,rfc_60,0.9888469360183171,0.022292828025948775,0.5056460105052835
45,60,rfc_70,0.9888497802807289,0.020814319279650283,0.5052641607516548
46,60,rfc_80,0.9888362700342733,0.02095356921782504,0.5052952577390711
47,60,rfc_100,0.9888355589686704,0.02019890585565774,0.5051009061718716
48,70,nb,0.9681079966437705,0.04236927033386514,0.5210193549552539
49,70,lr,0.9888981327417267,0.0,0.5
50,70,rfc_20,0.9888768007736394,0.02694165309170476,0.5068531857186604
51,70,rfc_40,0.9888853335608746,0.028344991772739313,0.507219727274475
52,70,rfc_60,0.9888810671672569,0.02811617109819508,0.5071633767586058
53,70,rfc_70,0.9888910220856977,0.029821401353193687,0.5076108340380839
54,70,rfc_80,0.9888846224952715,0.02811923970516218,0.5071596270568942
55,70,rfc_100,0.9888903110200946,0.028353605117753044,0.5072240515844176
56,80,nb,0.9697391811368518,0.03736682959896019,0.5159148668503503
57,80,lr,0.9888981327417267,0.0,0.5
58,80,rfc_20,0.9888753786424337,0.02270163920593816,0.5057551319022366
59,80,rfc_40,0.9888519134775375,0.020619743194989375,0.5052118733821972
60,80,rfc_60,0.9888583130679637,0.020142194542656106,0.5050844710181662
61,80,rfc_70,0.9888561798711549,0.019983702304337814,0.5050468317253006
62,80,rfc_80,0.9888504913463315,0.020088565004311963,0.5050737186974611
63,80,rfc_100,0.9888469360183172,0.017893222032304444,0.504502425692615
64,90,nb,0.9771065318486284,0.04001593915833465,0.5153900458110886
65,90,lr,0.9888981327417267,0.0,0.5
66,90,rfc_20,0.9888568909367579,0.024361225548787672,0.5061884060744022
67,90,rfc_40,0.9888476470839199,0.0235084642238965,0.5059651807984064
68,90,rfc_60,0.9888604462647722,0.02380133522527347,0.5060383368070913
69,90,rfc_70,0.9888476470839203,0.023858664463858856,0.5060526347039941
70,90,rfc_80,0.9888597351991696,0.025099143100589354,0.506373095445696
71,90,rfc_100,0.9888604462647723,0.02413074511246831,0.5061221685930642
72,100,nb,0.9685936544505597,0.05428643805172951,0.5302171358616626
73,100,lr,0.9888981327417267,0.0,0.5
74,100,rfc_20,0.9888711122488162,0.029004518558249034,0.5074006522035458
75,100,rfc_40,0.9889045323321531,0.03052630659192838,0.5077943574061512
76,100,rfc_60,0.9888931552825062,0.03121574900342085,0.5079742298262039
77,100,rfc_70,0.9888775118392422,0.029529846688031762,0.5075300785073076
78,100,rfc_80,0.9888860446264773,0.02987102919607093,0.507624431500651
79,100,rfc_100,0.988888177823286,0.030966870057264766,0.5079099041060243
